Składniki	Складники
Kolczasta maczuga	Шипаста булава
Lekki miecz dwuręczny	Легкий дворучний меч
Oskard	Роздроблювач каменів
Rębiczerep	Розколювач черепів
Lekki topór bojowy	Легка бойова сокира
Rychła Śmierć	Неминуча смерть
Długi miecz	Довгий меч
Topór obosieczny	Двосічна сокира
Wielki topór	Величезна сокира
Duży topór	Велика сокира
Morgensztern	Моргенштерн
Miecz półtoraręczny	Полуторний меч
Dobry długi miecz	Хороший довгий меч
Dobry miecz półtoraręczny	Хороший полуторний меч
Rapier	Рапіра
Buzdygan	Бойова булава
Kropacz	Ранкова зоря
Buława	Булава
Bandycka buława	Бандитська булава
Piernacz	Пернач
Kiepski piernacz	Грубий пірнач
Rubinowe ostrze	Рубіновий клинок
Kolczasty miecz dwuręczny	Шипастий дворучний меч
Miecz runiczny	Рунічний меч
Kruczy Dziób	Воронячий дзьоб
Inkwizytor	Інквізитор
Nóż do mięsa	Ніж різника
Duży nóż	Великий ніж
Cierń	Терн
Scyzor	Складний ніж
Kiepskie ostrze	Грубий клинок
Sługa wiatru	Слуга вітру
Kosa	Коса
Stara kosa	Стара коса
Miecz Bękarci	Полуторний меч
Miecz odrzuconych	Меч відступників
Kąsacz	Кусач
Oszczep	Кортик
Lekki oszczep	Легкий кортик
Mściciel	Месник
Złoty sztylet	Золотий кинджал
Miedziany sztylet	Мідний кинджал
Miecz Południowca	Меч південця
Stary, zakrzywiony miecz	Старий вигнутий меч
Ciachacz	Різак
Obcinacz	Ампутатор
Grawerowane ostrze	Гравійований клинок
Miecz grawerowany	Гравійований меч
Siekacz	Сікач
Rozcinacz	Розтинач
Zdobione ostrze	Оздоблений клинок
Ozdobiony miecz	Оздоблений меч
Miecz pojedynkowy	Дуельный меч
Miecz nieuczciwego pojedynku	Нечесний дуельный меч
Rozbijca	Руйнівник
Rozgniatacz	Дробитель
Srebrny miecz	Срібний меч
Posrebrzany miecz	Посрібнений меч
Postrach kłód	Страх колод
Niszczyciel konarów	Руйнівник гілок
Włócznia żołnierska	Солдатський спис
Włócznia żołdaka	Спис солдата
Nordmarska włócznia	Нордмарський спис
Podła włócznia	Злий спис
Poganiacz Niewolników	Погонич рабів
Dębczak	Дубок
Rycerskie ostrze	Лицарський клинок
Ostrze żołnierza	Солдатський клинок
Ścinacz Głów	Головоріз
Topór dręczyciela	Сокира мучителя
Wieprz	Вепр
Knur	Кабан
Długa szabla	Довга шабля
Szabla pojedynkowa	Дуельна шабля
Miecz mistrzowski	Шпага майстра
Lekki miecz mistrzowski	Легка шпага майстра
Kiepskie ostrze magiczne	Грубий магічний клинок
Podrzynacz	Горлоріз
Zarzynacz	Забійник
Żeglarz Burz	Буря моряка
Korsarz Oceanów	Океанський корсар
Rozłupywacz	Розколювач
Postrach Żeglarzy	Страх моряків
Wyrok	Вирок
Rzeźnik	Різник
Nordmarski młot	Нордмарський молот
Grzmot	Грім
Królobójca	Вбивця королів
Sprawiedliwość Innosa	Правосуддя Інноса
Wilcza Łapa	Вовча лапа
Włócznia Południowca	Спис південця
Dłoń Paladyna	Правиця паладина
Grom	Громовиця
Antyczna włócznia	Стародавній спис
Miażdżyciel	Роздроблювач
Młot Ilse	Молот Ільзи
Kordelas	Абордажна шабля
Patelnia Jil	Сковорода Джил
Laga Culusa	Дрючок Кулуса
Ręka szkieletu	Рука скелета
Noga szkieletu	Нога скелета
Młot Bena	Молот Бена
Wyważone ostrze	Збалансований клинок
Rapier szlachcica	Рапіра дворянина
Nadziewacz	Набивач
Szabla kapitańska	Капітанська шабля
Korsarska Duma	Гордість корсара
Duma Archolos	Гордість Архолосу
Ostrze sprawiedliwości	Клинок правосуддя
Ostrze z błękitnym kamieniem	Клинок із синім каменем
Furia	Лють
Ciemiężyciel	Гнобитель
Orkowy młot	Молот орків
Srebrny Pogromca	Срібний душогуб
Lekki młot bojowy	Легкий бойовий молот
Gruchotacz	Руйнівник
Obijak	Довбня
Wyważona kolczasta pałka	Збалансована колюча палиця
Srebrna Skała	Срібня скеля
Młot piechura	Молот піхотинця
Orli Szpon	Орлиний кіготь
Ciężka kolczasta pałka	Важка колюча палиця
Długa kolczasta pałka	Довга колюча палиця
Podejrzany tasak	Підозрілий ніж різника
Lekka kusza	Легкий арбалет
Zbutwiała lekka kusza	Згнилий легкий арбалет
Kusza jesionowa	Ясеневий арбалет
Stara kusza jesionowa	Старий ясеневий арбалет
Kusza myśliwska	Мисливський арбалет
Lekka kusza myśliwska	Легкий мисливський арбалет
Przysmak Korników	Ласощі короїдів
Solidna kusza	Міцний арбалет
Zdobiona kusza	Оздоблений арбалет
Niedbale zdobiona kusza	Недбало оздоблений арбалет
Wzmocniona kusza	Зміцнений арбалет
Nieporadnie wzmocniona kusza	Недбало зміцнений арбалет
Złota kusza	Золотий арбалет
Pozłacana kusza	Позолочений арбалет
Niszczyciel Murów	Руйнівник стін
Wielka kusza	Великий арбалет
Balista	Баліста
Kłoda	Колода
Kusza pokryta magiczną rudą	Вкритий магічною рудою арбалет
Kusza łowcy pełzaczy	Арбалет мисливця на повзунів
Kusza łowiecka	Мисливський арбалет
Zmora wargów	Прокляття варгів
Przyjaciel Kusznika	Друг арбалетника
Brzozowy łuk	Березовий лук
Lekki brzozowy łuk	Легкий березовий лук
Łuk bukowy	Буковий лук
Lekki łuk bukowy	Легкий буковий лук
Czerwony łuk	Червоний лук
Giętki łuk	Гнучкий лук
Łuk kompozytowy	Композитний лук
Wzmocniony łuk brzozowy	Зміцнений березовий лук
Lekki łuk jesionowy	Легкий ясеневий лук
Łuk mahoniowy	Лук з червоного дерева
Lekki łuk mahoniowy	Легкий лук з червоного дерева
Łuk łowczy	Мисливський лук
Lekki łuk łowczy	Легкий мисливський лук
Pustynny łuk	Пустельний лук
Wzmocniony łuk bukowy	Зміцнений буковий лук
Łuk refleksyjny	Зворотній лук
Sokole Oko	Соколине око
Długi łuk	Довгий лук
Kościany łuk	Кістяний лук
Trzaskający kościany łuk	Тріскучий кістяний лук
Łuk dębowy	Дубовий лук
Lekki łuk dębowy	Легкий дубовий лук
Jastrząb	Яструб
Pogromca cieniostworów	Вбивця мракорисів
Błękitny Orzeł	Синій орел
Wyrwana umarłemu.	Вирвана з мерця.
Strój Ivy	Вбрання Айві
Pancerz Ulryka	Обладунок Ульріка
Pancerz Bradlocka	Обладунок Бредлока
Pancerz Bena	Обладунок Бена
Strój Daniela	Вбрання Даніеля
Ciężki pancerz Wodnego Kręgu	Важкі обладунки Кільця Води
Lekki strój kolczy	Легка кольчуга
Ulepszony lekki strój kolczy	Покращена легка кольчуга
Wyśmienity lekki strój kolczy	Чудова легка кольчуга
Strój kolczy	Кольчуга
Ulepszony strój kolczy	Покращена кольчуга
Wyśmienity strój kolczy	Чудова кольчуга
Zbroja z pancerzy krabów	Обладунок з панциря краба
Ulepszona zbroja z pancerzy krabów	Покращений обладунок з панциря краба
Wyśmienita zbroja z pancerzy krabów	Найкращий обладунок з панциря краба
Płaszcz podróżnika	Вбрання мандрівника
Lekki skórzany pancerz	Легкий шкіряний обладунок
Ulepszony lekki skórzany pancerz	Покращений легкий шкіряний обладунок
Wyśmienity lekki skórzany pancerz	Найкращий легкий шкіряний обладунок
Skórzany pancerz	Шкіряний обладунок
Ulepszony skórzany pancerz	Покращений шкіряний обладунок
Wyśmienity skórzany pancerz	Найкращий шкіряний обладунок
Strój myśliwego	Обладунок мисливця
Ulepszony strój myśliwego	Покращений обладунок мисливця
Wyśmienity strój myśliwego	Найкращий обладунок мисливця
Zniszczony strój myśliwego	Зношений обладунок мисливця
Lekki pancerz Południowca	Легкий південний обладунок
Ulepszony lekki pancerz Południowca	Покращений легкий південний обладунок
Wyśmienity lekki pancerz Południowca	Найкращий легкий південний обладунок
Ciężki pancerz Południowca	Важкий південний обладунок
Ulepszony ciężki pancerz Południowca	Покращений важкий південний обладунок
Wyśmienity ciężki pancerz Południowca	Найкращий важкий південний обладунок
Strój bandyty	Вбрання бандита
Średni strój bandyty	Середнє вбрання бандита
Średni pancerz bandyty	Середній обладунок бандита
Ciężki pancerz bandyty	Важкий обладунок бандита
Ubranie kapitana	Вбрання капітана
Strój kowala Araxos	Вбрання коваля Араксос
Strój kowala	Вбрання коваля
Strój gońca Araxos	Вбрання посланця Араксос
Ulepszony strój gońca Araxos	Покращене вбрання посланця Араксос
Wyśmienity strój gońca Araxos	Найкраще вбрання посланця Араксос
Pancerz starszego gońca	Обладунок старшого посланця
Ulepszony pancerz starszego gońca	Покращений обладунок старшого посланця
Wyśmienity pancerz starszego gońca	Найкращий обладунок старшого посланця
Pancerz szermierza Araxos	Обладунок мечника Араксос
Ulepszony pancerz szermierza Araxos	Покращений обладунок мечника Араксос
Wyśmienity pancerz szermierza Araxos	Найкращий обладунок мечника Араксос
Zbroja szermierza Araxos	Важкий обладунок мечника Араксос
Ulepszona zbroja szermierza Araxos	Покращений важкий обладунок мечника Араксос
Wyśmienita zbroja szermierza Araxos	Найкращий важкий обладунок мечника Араксос
Pancerz tropiciela Araxos	Обладунок мисливця Араксос
Ulepszony pancerz tropiciela Araxos	Покращений обладунок мисливця Араксос
Wyśmienity pancerz tropiciela Araxos	Найкращий обладунок мисливця Араксос
Pancerz strzelca Araxos	Обладунок стрільця Араксос
Ulepszony pancerz strzelca Araxos	Покращений обладунок стрільця Араксос
Wyśmienity pancerz strzelca Araxos	Найкращий обладунок стрільця Араксос
Pancerz najemnego strażnika	Обладунок найманця
Ulepszony pancerz najemnego strażnika	Покращений обладунок найманця
Wyśmienity pancerz najemnego strażnika	Найкращий обладунок найманця
Ubranie strażnika	Вбрання вартового
Ulepszone ubranie strażnika	Покращене вбрання вартового
Wyśmienite ubranie strażnika	Найкраще вбрання вартового
Strój rekruta straży	Вбрання вартового новобранця
Ubranie medyka straży	Вбрання вартового лікаря
Pancerz strażnika	Обладунок вартового
Ulepszony pancerz strażnika	Покращений обладунок вартового
Wyśmienity pancerz strażnika	Найкращий обладунок вартового
Pancerz kusznika straży	Обладунок вартового арбалетника
Ulepszony pancerz kusznika straży	Покращений обладунок вартового арбалетника
Wyśmienity pancerz kusznika straży	Найкращий обладунок вартового арбалетника
Zbroja kusznika straży	Важкий обладунок вартового арбалетника
Ulepszona zbroja kusznika straży	Покращений важкий обладунок вартового арбалетника
Wyśmienita zbroja kusznika straży	Найкращий важкий обладунок вартового арбалетника
Pancerz szermierza straży	Обладунок вартового мечника
Ulepszony pancerz szermierza straży	Покращений обладунок вартового мечника
Wyśmienity pancerz szermierza straży	Найкращий обладунок вартового мечника
Zbroja szermierza straży	Важкий обладунок вартового мечника
Ulepszona zbroja szermierza straży	Покращений важкий обладунок вартового мечника
Wyśmienita zbroja szermierza straży	Найкращий важкий обладунок вартового мечника
Pancerz strażnika renegata	Обладунок вартового відступників
Pancerz kusznika renegata	Обладунок арбалетника відступників
Pancerz szermierza renegata	Обладунок мечника відступників
Ustandaryzowany pancerz strażnika	Стандартний обладунок вартового
Lekki pancerz Wilczego Syna	Легкий обладунок Вовчого Сина
Pancerz Wilczego Syna	Обладунок Вовчого Сина
Ulepszony pancerz Wilczego Syna	Покращений обладунок Вовчого Сина
Wyśmienity pancerz Wilczego Syna	Найкращий обладунок Вовчого Сина
Ciężki pancerz Wilczego Syna	Важкий обладунок Вовчого Сина
Zniszczony pancerz Wilczego Syna	Зламаний обладунок Вовчого Сина
Bogaty strój z czapką	Заможне вбрання з капелюхом
Bogaty strój	Заможне вбрання
Strój obywatela	Вбрання горожанина
Strój roboczy	Робоче вбрання
Suknia farmerki	Сукня фермерки
Lekka zbroja Straży Królewskiej	Легкий обладунок королівської гвардії
Zbroja Straży Królewskiej	Обладунок королівської гвардії
Ulepszona zbroja Straży Królewskiej	Покращений обладунок королівської гвардії
Wyśmienita zbroja Straży Królewskiej	Найкращий обладунок королівської гвардії
Ciężka zbroja Straży Królewskiej	Важкий обладунок королівської гвардії
Zniszczony pancerz paladyna	Зношений обладунок паладина
Pancerz rycerza	Обладунок лицаря
Pancerz paladyna	Обладунок паладина
Szlachecki strój	Вбрання дворянина
Szlachecki strój z czapką	Вбрання дворянина з капелюхом
Strój kowala	Вбрання коваля
Strój ziemianina	Вбрання землевласника
Szata nowicjusza	Вбрання послушника
Szata Maga Ognia	Мантія мага Вогню
Ciężka szata ognia	Важка мантія Вогню
Szata Maga Wody	Мантія мага Води
Ciężka szata wody	Важка мантія Води
Strój górnika	Вбрання рудокопа
Strój marynarza	Вбрання моряка
Pancerz Nordmarczyka	Обладунок нордмарця
Ulepszony pancerz Nordmarczyka	Покращений обладунок нордмарця
Wyśmienity pancerz Nordmarczyka	Найкращий обладунок нордмарця
Strój drwala	Вбраня лісоруба
Szata nowicjusza wody	Вбрання послушника магів Води
Piracka zbroja	Обладунок пірата
Pas wojownika z Nordmaru	Пояс нордмарського воїна
Pas myśliwego	Пояс мисливця
Pas awanturnika	Пояс мандрівника
Pas doświadczonego awanturnika	Пояс досвідченого мандрівника
Pas Południowca	Пояс південця
Pas wojownika Południowców	Пояс воїна південця
Pas siłacza	Пояс силача
Pas zręczności	Пояс спритника
Pas żeglarza	Пояс моряка
Pas uzdrowiciela	Пояс цілителя
Pas strażnika	Пояс вартового
Pas kusznika straży	Пояс вартового арбалетника
Ciężki pas kusznika straży	Важкий пояс вартового арбалетника
Pas szermierza straży	Пояс вартового мечника
Ciężki pas szermierza straży	Важкий пояс вартового мечника
Pas gońca Araxos	Пояс посланця Араксос
Pas najemnika Araxos	Пояс найманця Араксос
Ciężki pas najemnika Araxos	Важкий пояс найманця Араксос
Pas łowcy Araxos	Пояс мисливця Араксос
Ciężki pas łowcy Araxos	Важкий пояс мисливця Араксос
Pas mistrza	Пояс чемпіона
Pas Wilczego Dowódcy	Пояс Вовчого командира
Pas mistrza przywołań	Пояс майстра виклику
Ciężki pas mistrza przywołań	Важкий пояс майстра виклику
Łupka żelazna	Залізний самородок
Drewno do wyrobu broni	Деревина для виготовлення зброї
Włókno cięciwy	Волокно для тятиви
Ocet	Оцет
Czysty pergamin magiczny	Чистий магічний пергамент
Okruchy magicznej rudy	Порошок з магічної руди
Worek mąki	Мішок борошна
Cynamon	Кориця
Osełka tłuszczu	Шмат жиру
Paczuszka ostrej papryki	Мішечок гострого перцю
Duża bryłka srebra	Великий срібний самородок
Brzytwa	Бритва
Sztućce	Столові прибори
Sól	Сіль
Kawał soli	Шматочок солі
Drewniany ścierwojad	Дерев'яний падальник
Złoty Innos	Золота фігурка Інноса
Srebrny Innos	Срібна фігурка Інноса
Brązowy Innos	Бронзова фігурка Інноса
Wiosło	Весло
Kawałek drewna palmowego	Шматок пальмового дерева
Trucizna dla Bena	Отрута для Бена
Odtrutka dla Bena	Протиотрута для Бена
Łopata	Лопата
Sole trzeźwiące	Пахуча сіль
Perła wody	Перлина води
Destylator	Дистилятор
Ciężki worek	Важкий мішок
Wędka	Вудка
Luneta	Підзорна труба
Wiadro z wodą	Відро води
Pędzel	Пензлик
Paleta	Палітра
Kula armatnia	Гарматне ядро
Magiczny flet	Чарівна флейта
Korona Adanosa	Корона Аданоса
Zaginione składniki Bodowina	Зниклі інгредієнти Бодовіна
Dziwny kamyk	Дивний камінь
Łycha	Лопатка для випікання
Pochodnia	Смолоскип
Zwykła, trochę zardzewiała żelazna łopata.	Звичайна, злегка іржава залізна лопата.
Specjalna sól mogąca wybudzić śpiącego	Спеціальна сіль, здатна розбудити сплячого
lub nieprzytomnego człowieka.	або непритомну людину.
Worek pełny jakiegoś sypkiego materiału.	Мішок, наповнений якимось сипучим матеріалом.
Proste narzędzie	Простий інструмент
służące do łowienia ryb.	для риболовлі.
Narzędzie optyczne.	Оптичний прилад.
Dzięki niemu widać wyraźne	Дає змогу побачити об'єкти,
rzeczy znajdujące się daleko.	що знаходяться далеко.
Rodzaj: pas łowcy	Тип: Мисливський пояс
Premia do kusznictwa:	Бонус до володіння арбалетом:
Premia do walki bronią jednoręczną:	Бонус до володіння одноручною зброєю:
Premia do walki bronią dwuręczną:	Бонус до володіння дворучною зброєю:
Premia do walki bronią jednoręczną i dwuręczną:	Бонус до володіння одноручною і дворучною зброєю:
Premia do walki łukiem oraz kuszą:	Бонус до володіння луком і арбалетом:
Premia do walki każdą bronią:	Бонус до володіння всіма видами зброї:
Gdy wyuczona siła jest wyższa niż 50:	Якщо показник сили більше 50:
Gdy wyuczona siła jest wyższa niż 100:	Якщо показник сили більше 100:
Gdy wyuczona zręczność jest wyższa niż 50:	Якщо показник спритності більше 50:
Gdy wyuczona zręczność jest wyższa niż 100:	Якщо показник спритності більше 100:
Gdy wyuczona mana jest wyższa niż 50:	Якщо показник мани більше 50:
Gdy wyuczona mana jest wyższa niż 100:	Якщо показник мани більше 100:
Wzmacnia działanie wytwarzanych mikstur,	Посилює дію приготованих настоїв,
przywracających życie lub manę.	що відновлюють здоров'я або ману.
Gdy wyuczona siła i zręczność wynosi więcej niż 50:	Якщо показник сили та спритності перевищує 50:
Ze strojem myśliwego lub skórzanym +	З мисливськими або шкіряними обладунками +
Z pancerzem kolczym +	З кольчугою +
Z ciężkim pancerzem kolczym +	З важкою кольчугою +
Z pancerzem Południowca +	З південним обладунком +
Z pancerzem Wilczego syna +	З обладунком Вовчих Синів
Z pancerzem Nordmarczyka +	Зі нордмарським обладунком +
Z pancerzem strażnika +	З обладунком вартового +
Z pancerzem kusznika straży +	З обладунком вартового арбалетника +
Ze zbroją kusznika straży +	З важким обладунком вартового арбалетника +
Z pancerzem szermierza straży +	З обладунком вартового мечника +
Ze zbroją szermierza straży +	З важким обладунком вартового мечника +
Ze strojem gońca Araxos +	З вбранням посланця Араксос +
Z pancerzem łowcy Araxos +	З обладунком мисливця Араксос +
Ze zbroją łowcy Araxos +	З обладунком стрільця Араксос +
Z pancerzem najemnika Araxos +	З обладунком мечника Араксос +
Ze zbroją najemnika Araxos +	З важким обладунком мечника Араксос +
Nauka: przepisywanie zwojów	Вивчено: Переписування сувоїв
Nie ma sensu posługiwać się tą bronią.	Немає сенсу використовувати цю зброю.
Usmażyłeś mięso!	Ви посмажили м'ясо!
Przygotowałeś posiłek!	Ви приготували їжу!
Dowolne mięso	Будь-яке м'ясо
Dowolne surowe mięso	Будь-яке сире м'ясо
Dowolne smażone mięso	Будь-яке смажене м'ясо
Dowolne warzywo	Будь-які овочі
Owadzie mięso	М'ясо жука
Smażone owadzie mięso	Смажене м'ясо жука
Surowe mięso szczura	Сире м'ясо щура
Smażone mięso szczura	Смажене м'ясо щура
Surowe mięso dzika	Смажене м'ясо кабана
Smażone mięso dzika	Смажене м'ясо кабана
Surowe mięso owcy	Сире м'ясо вівці
Smażone mięso owcy	Смажене м'ясо вівці
Surowe mięso kretoszczura	Сире м'ясо кротощура
Smażone mięso kretoszczura	Смажене м'ясо кротощура
Surowe mięso wilka	Сире м'ясо вовка
Smażone mięso wilka	Смажене м'ясо вовка
Surowe mięso cieniostwora	Сире м'ясо мракориса
Smażone mięso cieniostwora	Смажене м'ясо мракориса
Surowe mięso ścierwojada	Сире м'ясо падальщика
Smażone mięso ścierwojada	Смажене м'ясо падальщика
Surowe mięso trolla	Сире м'ясо троля
Smażone mięso trolla	Смажене м'ясо троля
Surowe mięso niedźwiedzia	Сире м'ясо ведмедя
Smażone mięso niedźwiedzia	Смажене м'ясо ведмедя
Szczypce kraba	Клешні краба
Smażone szczypce kraba	Смажені клешні краба
Zepsuta ryba	Протухла рибина
Surowe mięso	Сире м'ясо
Przygotuj posiłek.	Приготувати їжу.
Usmaż mięso.	Посмажити м'ясо.
Wszystko	Все
Dziesięć sztuk	Десять шматків
Jedna sztuka	Один шматок
Marynowana rzepa	Маринована ріпа
Chleb na piwie	Пивний хліб
Kompot z dyni	Рецепт: Гарбузовий компот
Ciastka z miodem	Медове печиво
Smażone skóry rybne	Смажені рибні шкурки
Szaszłyk ze ścierwojada i dyni	Шашлик з падальника з гарбузом
Prażone owady	Смажені комахи
Zupa korzenna z kapustą	Гострий суп з капустою
Nieudana zupa z kapustą	Зіпсований капустяний суп
Kotlet grzybowy	Грибна котлета
Kompot z suszonych owoców	Компот із сухофруктів
Ryba w occie z zębatym zielem	Риба в оцті зі снеппер-травою
Zupa ze szczawiu królewskiego	Суп із королівського щавлю
Słodka bułka z jagodami	Солодка чорнична булочка
Flaczki z mięsa kopacza	Нутрощі м'ясних грибів
Polewka z rzecznego mirtu	Суп з річкового мирту
Ostrygi z zębatym zielem	Устриці із снеппер-травою
Gulasz z dzika na winie	Тушкована кабанина у вині
Mięsny bigos	М'ясна каша
Szczur na patyku	Шашлик зі щура
Grzaniec z Ognika	Глінтвейн 'Вогник'
Kotlety rybne z ognistym zielem	Рибні котлети з вогняною травою
Filet rybny ze szczawiem królewskim	Рибне філе з королівським щавлем
Pokrzepiający rosół z resztek	Ситний бульйон з недоїдків
Nędzna zupa z chwastów	Жалюгідний суп із бур'янів
Kociołek rybaka	Казанок рибалки
Ognista pieczeń	Запіканка на вогні
Gulasz ziołowy	Трав'яне рагу
Zapiekanka farmerska	Запіканка по-фермерськи
Pajda z mięsem	Хліб з м'ясом
Gulasz grzybiarza	Грибне рагу
Wiejska szarlotka	Сільський яблучний пиріг
Pasztet z resztek	Паштет з недоїдків
Marynowane grzyby	Мариновані гриби
Zupa ze starego chleba	Суп зі старого хліба
Pieczeń pasterska marynowana w winie	Пастуша печеня, маринована у вині
Wiejska jajecznica	Сільська яєчня
Ryba w cieście piwnym	Риба у пивній паніровці
Pikantny placek z mięsem	Гострий м'ясний пиріг
Placek warzywno-grzybowy	Пиріг з овочами та грибами
Smażona ryba	Смажена рибина
Tłusty gulasz	Жирне м'ясне рагу
Życiodajna potrawka z niedźwiedzia	Життєдайне ведмеже рагу
Specjalność łowcy	Фірмова страва мисливця
Potrawka szybkości	Ліниве рагу
Wędzona ryba ziołowa	Копчена риба з травами
Pieprzny stek	Стейк з прянощами
Mięsne paczuszki	Голубці
Wywar z grzybów i ziół	Бульйон з грибами та травами
Konfitura z jagód	Ягідне варення
Chlebowe smarowidło ze smoczego korzenia	Паштет з драконячого кореня
Kluski z goblinimi jagodami	Локшина з гоблінських ягід
Szybkie ostrygi	Ліниві устриці
Kompot z jagód	Ягідний компот
Koktajl malinowy	Малиновий коктейль
Sok winogronowy	Виноградний сік
Nalewka malinowa	Малинова настійка
Egzotyczny deser	Екзотичний десерт
Jabłka w cieście	Яблучна випічка
Śledź korzenny	Оселедець з прянощами
Zupa rybna z ziołami	Рибний суп із травами
Ziołowa zupa trolla	Трав'яний суп троля
Gulasz Marthy	Рагу Марти
Obfity Gulasz Marthy	Ситне рагу Марти
Przecier jabłkowy	Яблучне п'юре
Wywar grzybowy	Грибний бульйон
Przygotowałeś wytrychy!	Ви виготовили відмички!
Przygotowałeś strzały!	Ви виготовили стріли!
Przygotowałeś bełty!	Ви виготовили болти!
Przygotowałeś sproszkowaną rudę!	Ви виготовили рудний порошок!
Przepisałeś zwój!	Ви переписали сувій!
Przepisany zwój do niczego się nie nadaje...	Переписаний сувій нікуди не годиться...
Runa teleportacyjna	Руна телепортації
Trofeum do powieszenia na ścianę.	Трофей, який можна повісити на стіну.
Malowidło do powieszenia na ścianę.	Картина, яку можна повісити на стіну.
Wygodne miejsce do spania.	Комфортне місце для сну.
Do przechowywania książek i dokumentów.	Для зберігання книг і документів.
Do przechowywania wielu książek i dokumentów.	Для зберігання більшої бількості книг і документів.
Stolik idealny do pracy przy pismach.	Стіл, який ідеально підходить для письмової роботи.
Bardzo wygodne miejsce do siedzenia.	Дуже зручне місце, де можна посидіти.
Miejsce do siedzenia.	Місце, де можна посидіти.
Miejsce do rozpalenia ognia.	Місце для разведення вогню.
Tkanina do ozdobienia podłogi.	Тканина для оздоблення підлоги.
Duża tkanina do ozdobienia podłogi.	Велика тканина для оздоблення підлоги.
Mebel niezbędny w każdym domu.	Незамінний предмет меблів у кожному будинку.
Doniczka z urokliwymi roślinami.	Квітковий горщик з чарівними рослинами.
Kapliczka Pana Ognia.	Каплиця Бога Вогню.
Kapliczka Pana Równowagi.	Каплиця Бога Балансу.
Kapliczka Pana Śmierci.	Каплиця Бога Смерті.
Zestaw przedmiotów związanych ze Strażą Miejską.	Набір предметів, пов'язаних з Міською Вартою.
Zestaw przedmiotów związanych z Gildią Araxos.	Набір предметів, пов'язаних з Гільдією Араксос.
Zestaw przedmiotów związanych z Wilczym Leżem.	Набір предметів, пов'язаних з Вовчим Лігвом.
Zestaw przedmiotów związanych z piratami.	Набір предметів, пов'язаних з піратами.
Zestaw przedmiotów związanych z Południowcami.	Набір предметів, пов'язаних з південцями.
Zestaw przedmiotów związanych z Klasztorem Wody.	Набір предметів, пов'язаних з монастирем магів Води.
Einar ulepszył pancerz za darmo!	Ейнар безкоштовно покращив обладунок!
Czujesz się wyjątkowo lekko.	Ви відчуваєте надзвичайну легкість.
Zaczyna ci się lekko kręcić w głowie.	Починає трохи паморочитися в голові.
Czujesz się rześki i pełen energii.	Ви відчуваєте себе бадьорим і сповненим енергії.
Czujesz się rześko.	Ви відчуваєте себе бадьорим.
Bez porządnego snu nie dasz rady dłużej pracować.	Без повноцінного сну ви не зможете більше працювати.
Kiepskie posłanie nie pozwala ci należycie odpocząć.	Погана постільна білизна не дала вам повноцінно відпочити.
Amulet został zniszczony!	Амулет знищено!
Nauczasz: sztuka walki	Ви вивчили: Бойове мистецтво
Półkole gotowe!	Півколо готове!
Schłodziłeś półkole!	Ви охолодили півколо!
Uprawa uszkodzona!	Врожай знищено!
Tyle wystarczy...	Достатньо...
Okradzenie tej osoby wydaje się niemożliwe!	Вкрасти у цієї людини здається неможливим!
Kup 1 węgiel drzewny.	Придбати 1 шматок вугілля.
Kup 5 sztuk węgla drzewnego.	Придбати 5 шматків вугілля.
Odpoczywaj do następnego poranka.	Відпочити до наступного ранку.
Odpoczywaj do następnego południa.	Відпочити до наступного полудня.
Odpoczywaj do następnego wieczora.	Відпочити до наступного вечора.
Odpoczywaj do następnej północy.	Відпочити до наступної опівночі.
Adanos zwiększył twoją manę o +	Аданос збільшив вашу ману на +
Adanos dziękuje ci za modlitwę.	Аданос дякує вам за ваші молитви.
Adanos oczyścił twego ducha.	Аданос очистив ваш дух.
Ochrona +	Захист+
Garnek się tobą znudził...	Горщику ти просто набрид...
Twoje przestępstwo zostało zgłoszone!	Про ваш злочин було повідомлено!
Lekki skórzany pancerz. (300 SZ)	Легкий шкіряний обладунок (300 золота)
Strój myśliwego (600 SZ)	Обладунок мисливця (600 золота)
Skórzany pancerz (700 SZ)	Шкіряний обладунок (700 золота)
Lekki skórzany pancerz (300 SZ)	Легкий шкіряний обладунок (300 золота)
Strój kolczy (800 SZ)	Кольчуга (800 золота)
Lekki strój kolczy (500 SZ)	Легка кольчуга (500 золота)
(Kup strój bogatego kupca - 400 SZ)	(Придбати вбрання багатого торговця - 400 золота)
(Kup strój obywatela - 200 SZ)	(Придбати вбрання горожанина - 200 золота)
(Kup zużyty strój obywatela - 100 SZ)	(Придбати поношене вбрання горожанина - 100 золота)
(Kup czerwony strój)	(Придбати червоне вбрання)
(Kup zielony strój)	(Придбати зелене вбрання)
(Kup niebieski strój)	(Придбати синє вбрання)
(Z czapką)	(З капелюхом)
(Bez czapki)	(Без капелюха)
(Kup czarno-biały strój)	(Придбати чорно-біле вбрання)
(Kup oliwkowo-czerwony strój)	(Придбати оливково-червоне вбрання)
(Kup biało-brązowy strój)	(Придбати біло-коричневе вбрання)
(Kup pomarańczowo-zielony strój)	(Придбати помаранчево-зелене вбрання)
(Kup niebiesko-szary strój)	(Придбати синьо-сіре вбрання)
(Kup brązowo-czerwony strój)	(Придбати коричнево-червоне вбрання)
(Kup brązowy strój)	(Придбати коричневе вбрання)
(Kup ciemnobrązowy strój)	(Придбати темно-коричневе вбрання)
