%s - Poziom %d - Rozdział %d	%s - Рівень %d - Розділ %d
'Ciasto' z łajna	'Пиріг' з гною
Krąg:  2  |  Zaklęcie neutralne	Коло: 2 | Нейтральне заклинання
Krąg:  2  |  Zaklęcie neutralne  |  Inwestycyjne	Коло: 2 | Нейтральне заклинання | Потрібно підтримувати
Krąg:  2  |  Zaklęcie przywołania	Коло: 2 | Заклинання виклику
Krąg:  2  |  Zaklęcie wiatru	Коло: 2 | Заклинання вітру
Krąg:  2  |  Zaklęcie wiatru  |  Inwestycyjne	Коло: 2 | Заклинання вітру | Потрібно підтримувати
Krąg:  2  |  Zaklęcie wodne	Коло: 2 | Заклинання води
Krąg:  3  |  Zaklęcie Beliara	Коло: 3 | Заклинання Беліара
Krąg:  3  |  Zaklęcie elektryczne  |  Inwestycyjne	Коло: 3 | Заклинання блискавки | Потрібно підтримувати
Krąg:  3  |  Zaklęcie neutralne	Коло: 3 | Нейтральне заклинання
Krąg:  3  |  Zaklęcie ogniste  |  Obszarowe	Коло: 3 | Заклинання вогню | По площі
Krąg:  3  |  Zaklęcie przywołania	Коло: 3 | Заклинання виклику
Krąg:  3  |  Zaklęcie wodne	Коло: 3 | Заклинання води
Krąg:  3  |  Zaklęcie wodne  |  Obszarowe	Коло: 3 | Заклинання води | По площі
Krąg:  3  |  Zaklęcie wodne |  Obszarowe	Коло: 3 | Заклинання води | По площі
Krąg:  4  |  Zaklęcie Beliara	Коло: 4 | Заклинання Беліара
Krąg:  4  |  Zaklęcie elektryczne	Коло: 4 | Заклинання блискавки
Krąg:  4  |  Zaklęcie elektryczne  |  Obszarowe	Коло: 4 | Заклинання блискавки | По площі
Krąg:  4  |  Zaklęcie neutralne	Коло: 4 | Нейтральне заклинання
Krąg:  4  |  Zaklęcie ogniste  |  Inwestycyjne/Obszarowe	Коло: 4 | Заклинання вогню | Потрібно підтримувати/по площі
Krąg:  4  |  Zaklęcie ogniste  |  Obszarowe	Коло: 4 | Заклинання вогню | По площі
Krąg:  4  |  Zaklęcie przywołania	Коло: 4 | Заклинання виклику
Krąg:  4  |  Zaklęcie wodne  |  Obszarowe	Коло: 4 | Заклинання води | По площі
Krąg:  4  |  Zaklęcie wodne |  Obszarowe	Коло: 4 | Заклинання води | По площі
Krąg:  5  |  Zaklęcie neutralne	Коло: 5 | Нейтральне заклинання
Krąg:  5  |  Zaklęcie ogniste  |  Inwestycyjne/Obszarowe	Коло: 5 | Заклинання вогню | Потрібно підтримувати/по площі
Krąg:  5  |  Zaklęcie przywołania	Коло: 5 | Заклинання виклику
Krąg:  5  |  Zaklęcie wodne  |  Obszarowe	Коло: 5 | Заклинання води | По площі
Krąg:  6  |  Zaklęcie Beliara	Коло: 6 | Заклинання Беліара
Krąg:  6  |  Zaklęcie Beliara  |  Obszarowe	Коло: 6 | Заклинання Беліара | По площі
Krąg:  6  |  Zaklęcie neutralne	Коло: 6 | Нейтральне заклинання
Krąg:  6  |  Zaklęcie przywołania	Коло: 6 | Заклинання виклику
Książka o losach pewnego stada wilków,	Книга про долю однієї вовчої зграї,
Książka o radzeniu sobie ze stresem	Книга про те, як впоратися зі стресом
Książka opisuje historię rybaka Kintarou.	У книзі описана історія рибалки Кінтару.
Książka opisująca rodzaje obrażeń.	Книга з описом різних видів пошкоджень.
Książka opisująca sztukę	Книга описує мистецтво
Książka opisująca walkę	Книга описує, як боротись
Książka opisująca walkę z błotniakami.	Книга про те, як боротися з мулистими черепахами.
Książka opisująca walkę z cieniostworami.	Книга описує, як боротись з тінезвірами.
Książka opisująca walkę z dzikami.	Книга описує, як боротись з кабанами.
Książka opisująca walkę z goblinami.	Книга описує, як боротись з гоблінами.
Książka opisująca walkę z golemami.	Книга описує, як боротись з големами.
Książka opisująca walkę z harpiami.	Книга описує, як боротись з гарпіями.
Książka opisująca walkę z jaszczurami.	Книга описує, як боротись з ящерами.
Książka opisująca walkę z krabami.	Книга описує, як боротись з крабами.
Książka opisująca walkę z kretoszczurami.	Книга описує, як боротись з кротощурами.
Książka opisująca walkę z krwiopijcami.	Книга описує, як боротись з шершнями.
Książka opisująca walkę z niedźwiedziami.	Книга описує, як боротись з ведмедями.
Książka opisująca walkę z nietoperzami.	Книга про те, як боротися з кажанами.
Książka opisująca walkę z pełzaczami.	Книга описує, як боротись з повзунами.
Książka opisująca walkę z szczurami.	Книга описує, як боротись зі щурами.
Książka opisująca walkę z szkieletami.	Книга описує, як боротись зі скелетами.
Książka opisująca walkę z topielcami.	Книга описує, як боротись з луркерами.
Książka opisująca walkę z trollami.	Книга описує, як боротись з тролями.
Książka opisująca walkę z trutniami.	Книга описує, як боротись з трутнями.
Książka opisująca walkę z wilkami.	Книга описує, як боротись з вовками.
Książka opisująca walkę z zombie.	Книга описує, як боротись з мерцями.
Książka opisująca walkę z zębaczami.	Книга описує, як боротись зі снепперами.
Książka opisująca walkę z ścierwojadami.	Книга описує, як боротись з падальниками.
Książka opisująca walkę z żaboludźmi.	Книга описує, як боротись з жаболюдами.
Książka szczegółowo opisuje	У книзі детально описано,
Książka zawierające informacje	Книга, що містить інформацію
Księga badawcza pióra niejakiego Tanerisa.	Дослідницька книга, за авторством Танеріса.
Księga nieznanego poszukiwacza	Книга невідомого шукача
Księga o historii, produkcji	Книга про історію, виробництво
Księga o meandrach językowych pióra Diokema.	Книга про лінгвістичні перипетії, написана Діокемом.
Księga o mieszkańcach Nordmaru.	Книга про жителів Нордмару.
Księga o początkach wioski Silbach,	Книга про походження села Сільбах,
Księga o szlaku kupieckim w Varrancie,	Книга про купецький шлях у Варанті,
Księga opisu zmiany	В книзі описані зміни
Księga opisuje dokonania	У книзі описані досягнення
Księga opisująca	В цій книзі описана
Księga rachunkowa Gerstanda	Бухгалтерська книга Герстанда
Księga rachunkowa zabrana	Бухгалтерська книга, вилучена
Księga skryby	Книга писаря
Księga ta opisuje sztukę przepisywania zwojów.	В цій книзі описано мистецтво переписування сувоїв.
Księga wygląda na niezwykle starą.	Книга виглядає надзвичайно старою.
Księga wygląda, jakby coś ukryto pomiędzy stronami.	Книга виглядає так, ніби між сторінками щось заховано.
Księga z biblioteki klasztornej.	Книга з бібліотеки монастиря.
Księga zawiera informacje	Книга містить інформацію
Księga zawiera informacje o magii Innosa.	Книга містить інформацію про магію Інноса.
Księga, którą Ingolf	Книга, яку Інгольф
Ktoś musiał to tu dostarczyć zamiast mnie.	Хтось мав доставити це сюди замість мене.
Ktoś z odpowiednią formą,	Хтось з правильною формою
Ktoś, kto ją pisał, nie pała miłością do obcych.	Той, хто це написав, не дуже полюбляє чужинців.
Kucharz	Кухар
Kuchnia Urycha - Kantyna	Кухня Уріха – Їдальня
Kufel	Кружка
Kufer Arethe	Скриня Арета
Kufer Davisa	Скриня Девіса
Kufer Einara	Скриня Ейнара
Kufer Gerstanda	Скриня Герстанда
Kufer Jona	Скриня Йона
Kufer Recona	Скриня Рікона
Kufer Rodrigo	Скриня Родріго
Kufer Roya	Скриня Роя
Kufer Salviego	Скриня Сальві
Kufer Svena	Скриня Свена
Kufer do przechowywania	Скриня для зберігання
Kuferek Eliksirów od Hershlika	Скриня з зіллями від Гершліка
Kuferek eliksirów od Hershlika	Скриня з зіллями від Гершліка
Kuferek pachnie przeróżnymi	Скринька, що пахне різними
Kuferek wypełniony eliksirami.	Скриня, заповнена зіллями.
Kuferek z ziołami	Скринька з травами
Kula armatnia	Гарматне ядро
Kulista ryba	Кругла рибина
Kunszt obronny Południowców	Південне мистецтво оборони
Kup 1 węgiel drzewny.	Придбати 1 шматок вугілля.
Kup 5 sztuk węgla drzewnego.	Придбати 5 шматків вугілля.
Kupiec	Торговець
Kupiłem je od Bastiana.	Я купив його у Бастіана.
Kurier	Кур'єр
Kurtyzana	Куртизанка
Kushi	Kushi
Kusza	Арбалет
Kusza Araxos	Арбалет Араксос
Kusza Jona	Арбалет Йона
Kusza Kessela	Арбалет Кесселя
Kusza Południowca	Арбалет південця
Kusza Wilczych Synów	Арбалет Вовчих Синів
Kusza jesionowa	Ясеневий арбалет
Kusza myśliwska	Мисливський арбалет
Kusza najemników Volkera	Арбалет найманця Волкера
Kusza należała do rodu Ramseya od wieków.	Цей арбалет століттями належав родині Рамзі.
Kusza należąca do renegata Till'a.	Арбалет, що належить відступнику Тіллю.
Kusza nieznajomego	Арбалет незнайомця
Kusza obrońcy Archolos	Арбалет захисника Архолосу
Kusza pokazowa	Демонстраційний арбалет
Kusza pokryta magiczną rudą	Вкритий магічною рудою арбалет
Kusza strażnika	Арбалет вартового
Kusza treningowa	Тренувальний арбалет
Kusza łowcy pełzaczy	Арбалет мисливця на повзунів
Kusza łowiecka	Мисливський арбалет
Kusznik	Арбалетник
Kwarc	Кварц
Kącik Alchemika	Куточок алхіміка
Kącik Araxos	Куточок Араксос
Kącik Kowala	Куточок коваля
Kącik Kucharza	Куточок кухаря
Kącik Południowca	Куточок південця
Kącik Wilczych Synów	Куточок Вовчих Синів
Kącik klasztorny	Куточок монастиря
Kącik piratów	Куточок піратів
Kącik straży	Куточок варти
Kącik Łuczarza	Куточок лучника
Kąsacz	Кусач
Kłoda	Колода
Kły	Ікла
Kły morskiego węża	Зуби хвилежера
Kły w ciemności: Tom I	Ікла в темряві. Том I
Kły w ciemności: Tom II	Ікла в темряві. Том II
Lady Aldona, Pani Silbach	Леді Альдона, леді Сільбаху
Laga	Важка палиця
Laga Culusa	Дрючок Кулуса
Lagi	Lagi
Laguna - Łaźnia	Лагуна – Лазня
Larwa	Личинка
Larwa pełzacza	Личинка повзуна
Laska	Тростина
Ledwo można coś z niej odczytać.	Майже нічого не можна розібрати.
Ledwo można coś z tego odczytać.	Майже нічого не можна розібрати.
Legendarny miecz z twierdzy Vardhal.	Легендарний меч з фортеці Вардхал.
Legendy o anielskim smaku tego dania	Легенди про янгольський смак цієї страви
Lekarstwo Jorna	Ліки Йорна
Lekarstwo dla Jorna	Ліки для Йорна
Lekka dębowa kusza	Легкий дубовий арбалет
Lekka kusza	Легкий арбалет
Lekka kusza myśliwska	Легкий мисливський арбалет
Lekka ryba	Легка рибина
Lekka zbroja Straży Królewskiej	Легкий обладунок королівської гвардії
Lekki brzozowy łuk	Легкий березовий лук
Lekki miecz dwuręczny	Легкий дворучний меч
Lekki miecz mistrzowski	Легка шпага майстра
Lekki młot bojowy	Легкий бойовий молот
Lekki orkowy topór	Легка сокира орків
Lekki oszczep	Легкий кортик
Lekki pancerz Południowca	Легкий південний обладунок
Lekki pancerz Południowca (1500 SZ)	Легкий південний обладунок (1500 золота)
Lekki pancerz Wilczego Syna	Легкий обладунок Вовчого Сина
Lekki pancerz straży	Легкий обладунок вартового
Lekki skórzany pancerz	Легкий шкіряний обладунок
Lekki skórzany pancerz (300 SZ)	Легкий шкіряний обладунок (300 золота)
Lekki skórzany pancerz. (300 SZ)	Легкий шкіряний обладунок (300 золота)
Lekki strój kolczy	Легка кольчуга
Lekki strój kolczy (250 SZ)	Легка кольчуга (250 золота)
Lekki strój kolczy (500 SZ)	Легка кольчуга (500 золота)
Lekki topór	Сокира
Lekki topór bojowy	Легка бойова сокира
Lekki łuk bukowy	Легкий буковий лук
Lekki łuk dębowy	Легкий дубовий лук
Lekki łuk jesionowy	Легкий ясеневий лук
Lekki łuk mahoniowy	Легкий лук з червоного дерева
Lekki łuk łowczy	Легкий мисливський лук
Lekkie wino półsłodkie o bursztynowej barwie,	Легке напівсолодке вино бурштинового кольору,
Lekko zdobiony pierścień wykonany ze złota.	Злегка оздоблений перстень, виготовлений із золота.
Lepi się i strasznie śmierdzi.	Він липкий і жахливо пахне.
Lepiej go nie pić.	Краще його не пити.
Lepiej tego nie ruszać.	Краще це не чіпати.
Lepiej to komuś sprzedać.	Краще продати її комусь.
Lepiej to sprzedać.	Краще його продати.
Lepiej trzymać go z dala od ognia.	Краще тримати подалі від вогню.
Lepiej trzymać ją z dala od ognia.	Краще тримати подалі від вогню.
Leśna bestia	Лісовий хижак
Leśna jagoda	Лісова ягода
Liam prosił, bym zaniósł go do Venzela.	Ліам попросив мене віднести його Венцелю.
Lichwiarz	Лихвар
Licytacja w Starym Mieście	Аукціон у Старому місті
Lider grupy	Лідер групи
List Lewko o Reezie i Ogisie	Лист Левко про Різу та Огіса
List adresowany do Graysona	Лист, адресований Грейсону.
List adresowany do przyjaciela	Лист, адресований другові
List do Fridy	Лист до Фріди
List do Hershlika	Лист до Гершліка
List gończy - Niepokojąca bestia	Розшукується – Тривожний звір
List gończy wysłany za Havdanem.	Оголошення про розшук Хевдена.
List gończy wysłany za Hieną.	Оголошення про розшук Гієни.
List gończy wysłany za Kanalarzami.	Оголошення про розшук Каналізаційників.
List gończy wysłany za Mokrym.	Оголошення про розшук Мокрині.
List gończy wysłany za Mytnikiem.	Оголошення про розшук Митника.
List gończy wysłany za Prorokiem.	Оголошення про розшук Пророка.
List gończy wysłany za Pumą.	Оголошення про розшук Пуми.
List gończy wysłany za Siekiernikiem.	Оголошення про розшук Люторуба.
List gończy wysłany za Wdową.	Оголошення про розшук Вдови.
List gończy wysłany za Zimnym.	Оголошення про розшук Мороза.
List gończy wysłany za zbuntowanym nowicjuszem.	Оголошення про розшук бунтівного послушника.
List gończy wysłany za Śliskorękim.	Оголошення про розшук Слизькорукого.
List jaki wykradłem Volkerowi.	Лист, який я вкрав у Волкера.
List napisany przez Bradlocka. Przeprasza	Лист, написаний Бредлоком. У ньому він вибачається
List od Einara	Лист від Ейнара
List od Knuta, zaadresowany do Dacka,	Лист від Кнута, адресований Даку,
List od Kurta	Лист Курта
List od Kurta, który przekazała mi Helga.	Лист від Курта, який мені передала Хельга.
List od Rosaline	Лист Розаліни
List od drwali	Лист від лісорубів
List od ojca	Лист від батька
List od ukochanej Wilczego Syna Dalmona.	Лист від коханої Вовчого Сина Далмона.
List posłańca	Лист посланця
List traktuje o postępie medycyny,	У листі йдеться про прогрес в медицині,
List z informacjami	Лист з інформацією
List z ofertą Adelarda	Лист з пропозицією Аделарда
List z wezwaniem do pomocy w sprawie orków.	Лист із закликом про допомогу в боротьбі з орками.
List zniszczyła woda,	Лист був знищений водою,,
List, który miał przy sobie martwy kupiec	Лист, який мав при собі мертвий торговець,
List, który mieli przy sobie bandyci obok Silbach.	Лист, який мали при собі бандити поруч із Сільбахом.
List, który znalazłem przy ciele Lorenzo.	Лист, який я знайшов біля тіла Лоренцо.
List, który znalazłem przy ciele na bagnie.	Лист, який я знайшов біля тіла на болоті.
Lista Corteza, którą mam przekazać Antonio.	Список Кортеза, який мав бути переданий Антоніо.
Lista kosztowności	Перелік коштовностей
Lista materiałów na miecz strażnika	Перелік матеріалів для меча вартового
Lista materiałów potrzebnych	Список необхідних матеріалів
Lista mięs	Перелік м'яса
Lista mięs, jakie mam przynieść Slagerowi	Список м'яса, яке потрібно принести Слагеру
Lista nasion, których brakuje klasztornemu	Список насіння, якого не вистачає
Lista od Huxlaya	Перелік від Хакслі
Lista ogrodnika	Перелік садівника
Lista osób poszukujących czeladnika.	Список людей, які шукають собі помічника.
Lista otrzymana od Odgara.	Список, отриманий від Одгара.
Lista poległych	Перелік загиблих
Lista pracodawców	Перелік роботодавців
Lista przedmiotów Riordiana	Перелік предметів Ріордіана
Lista przedmiotów Unicorna	Перелік предметів Юнікорна
Lista przedmiotów od Stone'a	Перелік матеріалів від Стоуна
Lista przedmiotów potrzebna do wzmocnienia	Список матеріалів, необхідних для
Lista przedmiotów potrzebnych Unicornowi.	Перелік предметів, потрібних Юнікорну.
Lista przedmiotów, których Riordian	Список предметів, необхідних
Lista składników na opatrunek ziołowy Lokvara	Перелік інгредієнтів для трав'яної пов'язки Локвара
Lista składników, których Lokvar potrzebuje	Список складників, які потрібні Локвару,
Lista tropów przemytników	Перелік зачіпок контрабандистів
Lista wszystkich trenerów zajmujących się	Перелік усіх вчителів, залучених до
Lista z nieprawdziwym zamówieniem dla Antonio	Лист з підробленим замовленням для Антоніо
Lista z zamówieniem Bodowina.	Оголошення із замовленням Бодовіна.
Lista, którą zabrałem podejrzanemu	Записка, яку я забрав у підозрілого
Literatura piękna	Фікція
Liście	Листя
Liście do przygotowania pułapki	Листя для підготовки пастки
Liścik	Листівка
Liścik doręczony przez gońca.	Лист, доставлений посланцем.
Liścik od Południowca	Записка південця
Liścik od najemników	Лист від найманців
Liścik od strażników	Лист від вартових
Liścik wspomina o licytacji na Starym Mieście.	У листі згадується аукціон у Старому місті.
Liścik załączony do paczki,	Записка, вкладена в пакунок,
Liścik znaleziony przez strażnika	Записка, знайдена вартовим
Liścik, który przekazał mi Ben.	Записка, яку передав мені Бен.
Liścik, który znalazłem przy zwłokach Arsa.	Записка, яку я знайшов поруч з тілом Арса.
Liścik, który znalazłem przy łowcach nagród.	Листок, знайдений мисливцями за головами.
Lodowe wilki	Крижані вовки
Lodowy golem	Крижаний голем
Lodowy wilk	Крижаний вовк
Lokalny bimber	Місцевий самогон
Lokalny mięsny przysmak opiekany nad ogniskiem,	Місцевий м'ясний делікатес, підсмажений на багатті,
Lokvar oddał ci nadmiar roślin.	Локвар повернув вам надлишки рослин.
Londram padło!	Лондрам впав!
Lord Darnok	Lord Darnok
Lord Tune	Lord Tune
Lucas oddał ci nadmiar rogów.	Лукас повернув вам надлишки рогів.
Lud Północy	Люди півночі
Ludzka kość.	Людська кістка.
Ludzka ręka wyjęta z brzucha węża błotnego.	Людська рука, витягнута з утроби болотожера.
Ludzka ręka wyjęta z brzucha zębacza przy dźwigu.	Людська рука, витягнута з черева снеппера біля підйомника.
Luise	Луїза
Luneta	Підзорна труба
Lutnia	Лютня
Lutniarz	Лютняр
Lśniąca szpada	Сяючий меч
Ma bardzo charakterystyczny zapach.	Має дуже виражений запах.
Ma bardzo ostry i intensywny zapach.	Він має дуже різкий і сильний запах.
Ma mi pomóc trafiać w cele.	Це має допомогти мені влучати в ціль.
Ma mi pomóc w następnych walkach.	Він має допомогти мені в наступних боях.
Ma mi pomóc z odnalezieniem	Це допоможе мені відстежувати
Ma posłużyć do uszkodzenia pancerzy.	Призначений для пошкодження обладунків.
Maczeta Południowca	Мачете південця
Maczuga z kolcami	Булава з шипами
Maczuga żaboludzi	Булава жаболюда
Mag Ognia	Маг Вогню
Mag Wody	Маг Води
Maga Ognia Mikhtara	мага вогню Міхтара.
Magia	Магія
Magiczna strzała	Магічна стріла
Magiczny bełt	Магічний болт
Magiczny flet	Чарівна флейта
Magiczny golem	Магічний голем
Majcher Manfreda	Заточка Манфреда
Maks - 'Ja z panem raczej nie pójdę, mam wartę. Poleżę tu sobie. I pomyślę trochę.'	Maks – 'Я з тобою не піду, я на сторожі. Полежу тут собі. І трохи подумаю.'
Malen musi zapoznać się	Мален повинен ознайомитися
Maliny	Малина
Malowidło do powieszenia na ścianę.	Картина, яку можна повісити на стіну.
Malutka paczuszka, którą otrzymałem od Ezekiela.	Крихітний пакуночок, який я отримав від Єзекіїля.
Malutka rzepa do animacji	Крихітна ріпа для анімації
Mam dziwne przeczucie,	У мене дивне передчуття,
Mam go na kimś przetestować.	Я маю випробувати його на комусь.
Mam ją rozwiesić w Silbach.	Я маю повісити його в Сільбаху.
Mam ją wykorzystać obok stoczni.	Я маю використати її поруч з корабельнею.
Mam nadzieję, że Lutz i Martha	Сподіваюся, Люц і Марта
Mam nadzieję, że zasmakuje Marcie.	Сподіваюся, воно припаде до смаку Марті.
Mam rozwiesić je na tablicach w mieście.	Я маю розмістити їх на дошках оголошень у місті.
Mam wrażenie, jakby mnie obserwowała.	Таке відчуття, що вона спостерігає за мною.
Mam wziąć z niej wszystko, czego potrzebuję na wyprawę.	Я маю взяти звідти все необхідне для експедиції.
Mana + 1	Мана + 1
Mana + 2	Мана + 2
Mana + 5	Мана + 5
Manekin	Манекен
Manfred I	Manfred I
Manifest okrętowy	Корабельний журнал
Manuskrypt zielarski	Манускрипт про трави
Mapa Jona.	Мапа Йона.
Mapa Moritza	Мапа Моріца
Mapa do skarbu	Мапа скарбів
Mapa kanałów	Мапа каналізації
Mapa miasta Archolos	Мапа міста Архолос з позначками
Mapa miejskich kanałów Archolos.	Мапа міської каналізації Архолосу.
Mapa od Pablo	Мапа Пабло
Mapa skarbów, którą znalazł	Мапа скарбів, яку знайшов
Mapa wioski Silbach	Мапа селища Сільбах з позначками
Mapa wyspy Archolos	Мапа острова Архолос
Mapa wyspy Archolos ze znacznikami	Мапа острова Архолос з позначками
Marcel	Marcel
Marchewka	Морквина
Marcoo	Marcoo
Marczello Pierwszy	Marczello Pierwszy
Marrcych	Marrcych
Martwy demon	Мертвий демон
Marynarz	Моряк
Marynowana rzepa	Маринована ріпа
Marynowane grzyby	Мариновані гриби
Materiały na pancerz od Grifa	Матеріали для обладунку від Грифа
Matey wymaga takich referencji	Матей вимагає такі рекомендації
Matt the Buccaneer	Matt the Buccaneer
Mała fiolka, której zawartość powinna	Невеликий флакон, вміст якого повинен
Mała i bardzo delikatna roślina.	Маленька і дуже ніжна рослина,
Mała jagoda, ulubiony przekąska pasterzy.	Маленька ягода, улюблена закуска пастухів.
Mała kosa	Мала коса
Mała podobizna Pana Ognia.	Маленька копія Володаря Вогню.
Mała roślina,	Невелика рослина, яку часто
Mała, morska przekąska.	Невелика морська закуска.
Mała, zdobiona szkatułka.	Невелика оздоблена скринька.
Mały grzyb,	Невеликий гриб,
Mały kamyk	Маленький камінчик
Mały kominek	Невеликий камін
Mały kołczan bełtów	Малий колчан болтів
Mały kołczan strzał	Малий колчан стріл
Mały krwiopijca	Молодий шершень
Mały regał	Маленька книжкова шафа
Mały zestaw,	Малий колчан,
Mały, mosiężny klucz należący do jednego z renegatów.	Маленький латунний ключ, що належить одному з відступників.
Meals Pack	Харчовий набір
Mebel niezbędny w każdym domu.	Незамінний предмет меблів у кожному будинку.
Meble zostały przeniesione do domu!	Меблі були перенесені до будинку!
Mech z kopalni złota	Мох з золотої копальні
Mech, który znalazłem na dnie	Мох, який я знайшов на дні
Medico Della Peste	Medico Della Peste
Melone	Melone
Melonidas	Мелонідас
Menzurka	Мензурка
Menzurka wypełniona krwią.	Мензурка, наповнена кров'ю.
Menzurka z krwią	Мензурка з кров'ю
Meridian Wielki	Meridian Wielki
Metalowy kubek	Металева чаша
MiR	MiR
Miasto	Місто
Miał go jeden z bandytów.	Він був у одного з бандитів.
Miażdżyciel	Роздроблювач
Miażdżydeska	Розтрощувач досок
Miecz	Меч
Miecz Aleny	Меч Олени
Miecz Arwida	Меч Арвіда
Miecz Bękarci	Полуторний меч
Miecz Corteza	Меч Кортеза
Miecz Devira	Меч Девіра
Miecz Kessela	Меч Кесселя
Miecz Kushiego	Меч Куші
Miecz Lewko	Меч Левко
Miecz Lichwiarza	Меч Лихваря
Miecz Południowca	Меч південця
Miecz Rodericha	Меч Родеріха
Miecz Strażnika	Меч вартового
Miecz Timo	Меч Тімо
Miecz Wilczego Syna	Меч Вовчого Сина
Miecz Zakonu	Меч Закону
Miecz cechuje się niezwykłym połyskiem.	Меч особливий своїм надзвичайним блиском.
Miecz dwuręczny	Дворучний меч
Miecz dwuręczny paladyna	Дворучний меч паладина
Miecz grawerowany	Гравійований меч
Miecz mistrzowski	Шпага майстра
Miecz należał do rodu Ramseya od wieków.	Цей меч століттями належав родині Рамзі.
Miecz nieuczciwego pojedynku	Нечесний дуельний меч
Miecz obrońcy Archolos	Меч захисника Архолосу
Miecz obywatela	Шпага
Miecz odrzuconych	Меч відступників
Miecz orkowego herszta	Меч воєначальника орків
Miecz paladyna	Меч паладина
Miecz pojedynkowy	Дуельний меч
Miecz półtoraręczny	Полуторний меч
Miecz runiczny	Рунічний меч
Miecz strażnika	Меч вартового
Miecz treningowy straży.	Тренувальний меч вартового.
Miecz z magicznej rudy	Меч з магічної руди
Miecz żołnierski	Солдатський меч
Miecz, który otrzymałem od Lutza.	Меч, який я отримав від Люца.
Miedziany sztylet	Мідний кинджал
Miejscami przypalona księga	Частково обгоріла книга
Miejsce do rozpalenia ognia.	Місце для разведення вогню.
Miejsce do siedzenia.	Місце, де можна посидіти.
Mierny posiłek ze szczurzego mięsa,	Кепська пожива зі щурячого м'яса,
Mieszanka mięsa, warzyw i ziela, zasmakuje każdemu,	Суміш м'яса, овочів і зелені, яка смакуватиме
Mieszanka przeróżnych mięs.	Суміш різних видів м'яса.
Mieszek z wygraną Stana	Гаманець з виграшем Стена
Mikhtar	Mikhtar
Mikstura	Зілля
Mikstura Hershlika	Зілля Гершліка
Mikstura dla Marvina	Зілля для Марвіна
Mikstura kamiennej skóry	Зілля кам'яної шкіри
Mikstura na trawienie Hershlika.	Зілля для травлення Гершліка.
Mikstura oddychania pod wodą	Зілля підводного дихання
Mikstura odnowy many	Зілля відновлення мани
Mikstura odnowy życia	Зілля відновлення здоров'я
Mikstura swobodnego spadania	Зілля вільного падіння
Mikstura szybkości	Зілля швидкості
Milo - 'Zabicie Fabio w 4 rozdziale pod Wilczym to kanon'	Milo – 'Смерть Фабіо від вовка в 4 розділі – це канон'
Mimo dużych rozmiarów, wydają się wyjątkowo lekkie.	Незважаючи на свої великі розміри, вони здаються надзвичайно легкими.
Mimo opłakanego stanu,	Незважаючи на свій жалюгідний стан,
Miotła	Мітла
Mistrz gry	Майстер гри
Mistrzostwo Nordmarczyków	Майстерність нордмарців
Mistrzostwo Nordmarczyków - kopia	Майстерність нордмарців – копія
Mistrzostwo Walki Wilczych Synów	Бойова майстерність Вовчих Синів
Mistrzostwo płatnerzy z Vardhal	Майтерність виготовлення обладунків Вардхалу
Miód	Мед
Miód posiada niesamowity aromat	Мед з дивовижним ароматом
Miód z Niebieskiego Bzu	Мед з синьої бузини
Miód, który pomogłem stworzyć.	Мед, який я допоміг зібрати.
Miękka skórka.	М'яка шкірка.
Mięsne paczuszki	Голубці
Mięsny bigos	М'ясна каша
Mięso kopacza	М'ясний гриб
Mięso o dziwnej konsystencji,	М'ясо з дивною текстурою,
Mięso uwielbiane przez mieszczan z Archolos.	Улюблене м'ясо містян Архолосу.
Mięso wygląda na bardzo soczyste,	М'ясо виглядає дуже соковитим,
Mięso zawinięte w szczaw królewski	М'ясо, загорнуте в королівський щавель
Miła w dotyku skóra.	Приємна на дотик шкура.
Miłośnik gier	Любитель ігор
Mleko	Молоко
Moc Sprawcza: Tom I	Сили, що стоять над нами. Том I
Moc Sprawcza: Tom II	Сили, що стоять над нами. Том II
Mocne piwo	Міцне пиво
Mocne piwo o gorzkim smaku.	Міцне пиво з гірким смаком.
Mocne, a jednocześnie	Міцне, але в той же час
Mocny eliksir przemiany	Сильний еліксир перетворення
Mogę ponownie założyć pancerz Wodnego Kręgu...	Я знову можу носити обладунок Кільця Води...
Moja Spowiedź - strona I	Моя сповідь – Сторінка I
Moja Spowiedź - strona II	Моя сповідь – Сторінка II
Moja Spowiedź - strona III	Моя сповідь – Сторінка III
Moja Spowiedź - strona IV	Моя сповідь – Сторінка IV
Moja Spowiedź - strona V	Моя сповідь – Сторінка V
Moja autorska, sfałszowana wersja	Моя власна підроблена версія
Moje rzeczy	Мої речі
Mokry	Мокриня
Morgensztern	Моргенштерн
Moritz. Jedno miejsce nie	Моріц. Одне місце
Mosiężny klucz	Латунний ключ
Motyka	Сапа
Może lepiej tego nie próbować...	Мабуть, їх краще не пробувати...
Może otwiera drzwi w jego domu?	Може, він відчиняє двері в його будинку?
Może posłużyć jako dowód w sprawie.	Може бути використаний як доказ у справі.
Może zaspokoić głód na cały dzień!	Може втамувати голод на цілий день!
Może znajdę tam coś, co pomoże	Можливо, я знайду там щось, що допоможе
Możesz mieć ze sobą maksymalnie 2 towarzyszy!	З вами можуть бути максимум 2 компаньйони!
Możliwe, że należały do jego ofiar.	Можливо, воно належало одній з його жертв.
Można je otworzyć w celu	Їх можна відкрити для того, щоб
Można nim coś ugasić.	Ним можна щось загасити.
